,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat
95,fruits,degenerative diseases,"Several studies have shown that a high consumption of vegetables and fruits is consistently associated with a low risk of oxidative stress-induced diseases, which includes some degenerative diseases such as amyotrophic lateral sclerosis, Alzheimer and Parkinson.",DOID:1289,0.0,1.0
96,alcoholics,osteopenia,Osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty liver disease.,,1.0,0.0
97,olive oil,neurodegenerative tauopathies,These findings might provide further experimental support for the beneficial nutritional properties of olives and olive oil as well as a chemical scaffold for the development of new drugs aiming at neurodegenerative tauopathies.,,0.0,0.0
98,turkey,hvt,In ovo vaccination with herpesvirus of turkey (HVT) or recombinant HVT (rHVT) is commonly used in meat-type chickens.,,0.0,0.0
99,sugar,caries,"Many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption.",,1.0,0.0
100,extra-virgin olive oil,breast and colon cancers,"Epidemiological and clinical studies compellingly documented the ability of Mediterranean diet rich in extra-virgin olive oil (EVOO) to reduce breast and colon cancers incidence, cardiovascular diseases, and aging cognitive functions decline.",,0.0,1.0
101,fruit,inflammation,Fruit and vegetables are still not being eaten in adequate amounts and yet contain micronutrients and phytochemicals useful for bone remodelling (bone formation and resorption) and are essential for reducing inflammation and oxidative stress.,,0.0,1.0
102,alcoholic beverages,dementia,Moderate consumption of alcoholic beverages reduces the risk of dementia and cognitive decline.,DOID:1307,0.0,1.0
103,livestock,infectious diseases,"Many infectious diseases originating from, or carried by, wildlife affect wildlife conservation and biodiversity, livestock health, or human health.",DOID:0050117,0.0,0.0
104,ginger,inflammation,Ginger as an anti-oxidant and anti-inflammation can effect on these biomarkers.,,0.0,1.0
105,tofu,dementia,"In older people in Indonesia, Hawai'i and China, tofu, which can contain high levels of phytoestrogens, was found to increase dementia risk.",DOID:1307,1.0,0.0
106,walnuts,alzheimer's disease,Our previous study has shown beneficial effects of walnuts on memory and learning skills in transgenic mouse model of Alzheimer's disease (AD-tg).,DOID:10652,0.0,1.0
107,ketogenic diets,cancer,"Despite recent interest in the use of ketogenic diets (KDs) for cancer, evidence of beneficial effects is lacking.",,0.0,0.0
108,mediterranean diet,ischemic heart disease,"With the famous Seven Countries Study, Keys demonstrated for the first time that populations practicing a Mediterranean diet - such as the Greeks and southern Italians - showed low mortality rates from ischemic heart disease compared to the peoples of Northern Europe and North America.",,0.0,1.0
109,olea europaea,inflammation,Bioactive extracts from Olea europaea have anti-inflammatory activity and have been shown to reduce systemic inflammation in other animal models.,,0.0,1.0
110,tasmanian atlantic salmon (salmo salar),viral diseases,The Tasmanian Atlantic salmon (Salmo salar) aquaculture industry had remained relatively free of major viral diseases until the recent emergence of pilchard orthomyxovirus (POMV).,DOID:934,0.0,0.0
111,fruits,kidney stones,Various human studies have suggested that diets with a higher intake of vegetables and fruits play a role in the prevention of kidney stones.,DOID:585,0.0,1.0
112,olive oil,carcinogenic,"The beneficial effects of olive oil phenols attributed to a variety of biological activities including free radical scavenging/antioxidant actions, anti-inflammatory effects, anti-carcinogenic properties, and anti-microbial activities.",,0.0,1.0
113,vegetables,kidney stones,"Available scientific evidence agrees on the harmful effects of high meat/animal protein intake and low calcium diets, whereas high content of fruits and vegetables associated with a balanced intake of low-fat dairy products carries the lowest risk for incident kidney stones.",DOID:585,0.0,1.0
114,beef,bovine respiratory disease,Bovine respiratory disease (BRD) is a major cause of morbidity and mortality in beef cattle.,,0.0,0.0
115,fruit,hypertension,"An increased consumption of vegetables and fruit reduces the risk of hypertension, coronary heart disease, stroke, and cancer.",DOID:10763,0.0,1.0
116,unbalanced diets,"impaired cognition, termed 'gut-brain axis'","Thus, it has recently been hypothesized that the gut microbiota could be part of a mechanistic link between the consumption of high fat and other unbalanced diets and impaired cognition, termed 'gut-brain axis'.",,0.0,0.0
117,folic acid,inflammatory bowel diseases,Folic acid (Vitamin B9) is often associated with inflammatory bowel diseases since reduced overall folate concentration in the human body may lead to the development of colorectal cancer and megaloblastic anaemia.,DOID:0050589,0.0,0.0
118,salt,death and disability,Diets high in salt are a leading risk for death and disability globally.,,1.0,0.0
119,milk,cognitive impairment,Milk and other dairy products may contribute to the prevention of physical and cognitive impairment.,,0.0,1.0
120,tea consumption,cardiovascular disease,This review synthesized the evidence on the relation between tea consumption and risks of cardiovascular disease (CVD) and all-cause mortality among generally healthy adults.,,0.0,0.0
121,wheat flour,neural tube defects,"The mandatory fortification of enriched cereal grains (e.g., wheat flour) with folic acid, which began in the United States in 1998, is an example of a successful intervention that significantly reduced the rate of neural tube defects (NTDs).",DOID:0080074,0.0,1.0
122,cereal,coronary disease,"The soluble dietary fiber (1-3)(1-4) mixed linked ÃÂÃÂÃÂÃÂ²-D-glucan from cereal grains is a valuable component of a healthy diet, which reduces risks of coronary disease and diabetes.",DOID:3393,0.0,1.0
123,licorice,neurodegenerative diseases,"Extensive research over the last 10 years has indicated that nutraceuticals derived from such spices as turmeric, red pepper, black pepper, licorice, clove, ginger, garlic, coriander, and cinnamon target inflammatory pathways, thereby may prevent neurodegenerative diseases.",DOID:1289,0.0,1.0
124,olive oil,cvds,"Polyphenols of olive oil (OO), virgin olive oil (VOO), and extra virgin olive oil contribute an essential role for the management of CVDs.",,0.0,1.0
125,zinc,alzheimer's disease,"Alzheimer's disease (AD) is a multifactorial neurodegenerative disorder, characterized by the formation, aggregation and accumulation of amyloid beta, perturbed metal (copper, iron and zinc) homeostasis, metal-induced oxidative stress, neuroinflammation, aberrant activity of acetylcholinesterase (AChE) and other pathologies.",DOID:10652,0.0,0.0
126,fruits,heart disease,"Nuts, whole grains, fruits, and vegetables contain an abundance of phenolic compounds, terpenoids, pigments, and other natural antioxidants that have been associated with protection from and/or treatment of chronic disease such as heart disease, cancer, diabetes, and hypertension as well as other medical conditions.",DOID:114,0.0,1.0
127,ginkgo biloba,cough,"Ginkgo biloba has long been used in ancient China for the treatment of cough, asthma, and other lung diseases.",,0.0,1.0
128,shrimp,allergy,"In 2.8% of the control group, the ISAC-test failed to detect an allergy sensitization caused by dust mite, shrimp, Anisakis, or seed storage proteins.",,1.0,0.0
129,fruits,mental disorders,"The role of a properly balanced diet in the prevention and treatment of mental disorders has been suggested, while vegetables and fruits have a high content of nutrients that may be of importance in the case of depressive disorders.",,0.0,0.0
130,bertholletia excelsa,cognitive decline,"Previously, supplementation with a selenium-rich Brazil nut (Bertholletia excelsa) has shown potential in reducing cognitive decline in MCI patients, and could prove to be a safe and effective nutritional approach early in the disease process to slow decline.",,0.0,1.0
131,broccoli,cartilage destruction,"We have previously demonstrated that sulforaphane, a dietary isothiocyanate derived from its glucosinolate precursor which is found in broccoli, can prevent cartilage destruction in cells, in in vitro and in vivo models of osteoarthritis.",,0.0,1.0
132,olive oil,coronary heart disease,"Their diets differ in the amount of total fat, olive oil, type of meat and wine intake; milk vs. cheese; fruits and vegetables; and the rates of coronary heart disease and cancer, with the lower death rates and longer life expectancy occurring in Greece.",DOID:3393,0.0,0.0
133,fig,allergy,We describe the first case of fig allergy that occurred as a cross-reactivity between fig and Derp 1.,,1.0,0.0
134,malnutrition,tuberculosis,"The main causes of death were: tuberculosis, pneumonia, malnutrition and typhoid fever.",DOID:399,0.0,0.0
135,hard water,atopic dermatitis,"This review summarizes the mechanism and effects of Dead Sea salt, hard water, commercial baby cleansers, oatmeal, rice, and natural oils as bathing additives for the treatment of atopic dermatitis.",DOID:3310,0.0,1.0
136,drugs,infections,"Although most individuals are asymptomatic, exposure to certain food, drugs, or infections can trigger acute hemolytic anemia.",,0.0,0.0
137,eicosapentaenoic acid,neurodegenerative diseases,"Omega-3 polyunsaturated fatty acids (n-3 PUFAs), docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA), have been reported to prevent neurodegenerative diseases such as Alzheimer's disease (AD) in both experimental and clinical/epidemiological studies.",DOID:1289,0.0,1.0
138,whey protein,lipemia,"Recently, we demonstrated that whey protein (WP) combined with low dietary fiber improved lipemia, a risk factor for cardiovascular disease in subjects with abdominal obesity.",,0.0,1.0
139,mollusks,osteoporosis,"In vitro cell cultures and in vivo animal osteoporosis models have demonstrated the potential for seafood-derived SBPs, including fish, mollusks, crustaceans, seaweed and microalgae, in preventing osteoporosis.",DOID:11476,0.0,1.0
140,chickens,infectious bronchitis,"The predominant infectious bronchitis virus (IBV) strains detected in chickens in Malaysia are the Malaysian variant (MV) and QX-like, which are associated with respiratory distress, nephropathy, and high mortality.",,0.0,0.0
141,gallus gallus,avian infectious bronchitis,Avian infectious bronchitis virus (IBV) is a coronavirus which infects chickens (Gallus gallus) of all ages and causes significant economic losses to the poultry industry worldwide.,,0.0,0.0
142,peanut oil,ad,"Some bath oils and skin creams used for treating AD contain peanut oil, and it has been suggested that exposure to peanut allergens through a disrupted skin barrier is a potential cause of PA.",,0.0,1.0
143,ginkgo biloba,peripheral vascular disease,"The extract from Ginkgo biloba leaves has become a very popular plant medicine and herbal supplement for its potential benefit in alleviating symptoms associated with peripheral vascular disease, dementia, asthma and tinnitus.",DOID:341,0.0,1.0
144,almond consumption,cad,This study reports the effect of almond consumption on UA in CAD patients.,,0.0,0.0
145,fat and high-calorie foods,obesity,"Also, excessive intake of fat and high-calorie foods is also related to the development of obesity, which contributes to the development of CVD.",DOID:9970,1.0,0.0
146,native olive oil,stroke,"The only evidence from randomised controlled trials is, that a mediterranean diet with nuts and/or native olive oil considerably reduces stroke risk by 47% respectively 31%, however not the risk of myocardial infarction and death.",DOID:6713,0.0,1.0
147,vaccinium macrocarpon,urinary tract infections,"Younger women will use botanicals for urinary tract infections, especially Vaccinium macrocarpon (cranberry), where there is evidence for efficacy.",DOID:13148,0.0,1.0
148,ginger,nausea,Vitamin B6 and ginger are both effective for nausea and vomiting in early pregnancy.,,0.0,1.0
149,diet,hypercholesterolemia,"Hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes.",,1.0,0.0
150,fruit of lycium chinense (lc),musculoskeletal diseases,"The fruit of Lycium chinense (LC), one of the most popular natural materials, has been used to counter the effects of musculoskeletal diseases in oriental medicine.",,0.0,1.0
151,vegetarian diet,depression,"Previous studies reported inconsistent findings regarding the consumption of a vegetarian diet with mental health outcomes, specifically depression, anxiety and stress.",,0.0,0.0
152,ginger,diabetes mellitus,"Ginger is an important medicinal herb has numerous bioactive components and is used in the management, control and/or treatment of diseases including diabetes mellitus.",DOID:9351,0.0,1.0
153,high protein diets ,bone loss,"High protein diets are believed to cause kidney stone formation and bone loss, but the mechanisms mediating these changes are unknown.",,1.0,0.0
154,salmo salar,infectious salmon anaemia,Infectious salmon anaemia (ISA) can be a serious viral disease of farmed Atlantic salmon (Salmo salar).,,0.0,0.0
